box_name,interest_name,description,price,is_available
Fitness_Box_0,Fitness,Guy people window color impact rather exactly they.,11.24,True
Beauty_Box_1,Beauty,Box everyone sea person tell either.,30.76,False
Beauty_Box_2,Beauty,Ball Mr remember difficult authority.,43.23,True
Fitness_Box_3,Fitness,Building glass could may will player approach.,49.64,True
Books_Box_4,Books,Wish animal including office.,36.37,True
Beauty_Box_5,Beauty,Age national performance performance only consumer.,18.0,True
Books_Box_6,Books,Reality while thing kitchen sport window involve avoid.,27.35,False
Beauty_Box_7,Beauty,Next heart exist human our weight nearly take.,49.74,True
Beauty_Box_8,Beauty,Try know all pass society.,49.48,False
Books_Box_9,Books,Entire happy exactly provide way.,34.64,False
